PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Jay Huff,Brandon Ingram,Matas Buzelis,Jamal Shead,50000,122.365
Craig Porter,Jaylon Tyson,Gradey Dick,Pascal Siakam,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,49900,122.365
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Zion Williamson,Ivica Zubac,Jamal Shead,Drake Powell,Nic Claxton,50000,122.35499999999999
Andrew Nembhard,Brandon Ingram,Jordan Miller,Pascal Siakam,Jay Huff,Coby White,Collin Murray-Boyles,Jamal Shead,50000,122.35
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Jay Huff,Ivica Zubac,Tyrese Maxey,Matas Buzelis,Nic Claxton,50000,122.345
Andrew Nembhard,Coby White,Drake Powell,Pascal Siakam,Ivica Zubac,Jamal Shead,Matas Buzelis,Nic Claxton,49900,122.335
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Jay Huff,Ivica Zubac,Brandon Ingram,Kevin Huerter,Jamal Shead,49900,122.33
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Noah Clowney,Nic Claxton,50000,122.33
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Nic Claxton,Craig Porter,Jordan Miller,Tyrese Maxey,49900,122.315
Andrew Nembhard,Coby White,Jordan Miller,Pascal Siakam,Jay Huff,Craig Porter,Zion Williamson,Nic Claxton,50000,122.31
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Jarace Walker,Nikola Vucevic,50000,122.30499999999999
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Collin Murray-Boyles,Ivica Zubac,Brandon Ingram,Drake Powell,Nic Claxton,50000,122.295
Andrew Nembhard,Jaylon Tyson,Gradey Dick,Pascal Siakam,Joel Embiid,Lonzo Ball,Jay Huff,Ivica Zubac,50000,122.285
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Zion Williamson,Ivica Zubac,Jamal Shead,Gradey Dick,Nic Claxton,49900,122.27499999999999
Jamal Shead,Brandon Ingram,Jarace Walker,Pascal Siakam,Ivica Zubac,Tre Jones,Collin Murray-Boyles,Nic Claxton,50000,122.265
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Lonzo Ball,Pascal Siakam,Nic Claxton,50000,122.265
Jamal Shead,Donovan Mitchell,Jarace Walker,Zion Williamson,Joel Embiid,Drake Powell,Jay Huff,Nic Claxton,50000,122.25
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jay Huff,Nikola Vucevic,Craig Porter,Scottie Barnes,Jamal Shead,50000,122.245
Craig Porter,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Derik Queen,Jamal Shead,Jay Huff,Nic Claxton,50000,122.22
TJ McConnell,Jaylon Tyson,Kevin Huerter,Pascal Siakam,Joel Embiid,Coby White,Jay Huff,Nic Claxton,50000,122.22
Craig Porter,Jaylon Tyson,Michael Porter,Jay Huff,Nic Claxton,Coby White,Scottie Barnes,Jamal Shead,49900,122.215
TJ McConnell,Donovan Mitchell,Jarace Walker,Pascal Siakam,Ivica Zubac,Jaylon Tyson,Kevin Huerter,Nic Claxton,50000,122.21
TJ McConnell,Jaylon Tyson,Jarace Walker,Pascal Siakam,Jay Huff,Jamal Shead,Michael Porter,Scottie Barnes,50000,122.2
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Derik Queen,Joel Embiid,Brandon Ingram,Jay Huff,Jamal Shead,49900,122.2
Andrew Nembhard,Brandon Ingram,Jarace Walker,Collin Murray-Boyles,Nic Claxton,Tyrese Maxey,Jordan Miller,Jamal Shead,50000,122.185
Jamal Shead,Donovan Mitchell,Jordan Miller,Pascal Siakam,Jay Huff,Coby White,Noah Clowney,Nic Claxton,50000,122.17999999999999
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Jay Huff,Ivica Zubac,Brandon Ingram,Gradey Dick,Coby White,49800,122.17999999999999
TJ McConnell,Brandon Ingram,Jarace Walker,Pascal Siakam,Ivica Zubac,Jamal Shead,Zion Williamson,Noah Clowney,50000,122.175
Jamal Shead,Jaylon Tyson,Paul George,Pascal Siakam,Ivica Zubac,Coby White,Noah Clowney,Nic Claxton,50000,122.17
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Jay Huff,Jaylon Tyson,Zion Williamson,Brandon Ingram,50000,122.17
Andrew Nembhard,Jaylon Tyson,Paul George,Nae'Qwan Tomlin,Nic Claxton,Brandon Ingram,Zion Williamson,Jamal Shead,50000,122.17
Craig Porter,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Joel Embiid,Jamal Shead,Noah Clowney,Ivica Zubac,50000,122.16499999999999
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Zion Williamson,Ivica Zubac,Craig Porter,Jordan Miller,Jamal Shead,50000,122.16
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Jay Huff,Jeremiah Fears,Michael Porter,Nic Claxton,50000,122.16
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Zion Williamson,Ivica Zubac,Jamal Shead,De'Andre Hunter,Nic Claxton,49900,122.155
Craig Porter,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Nic Claxton,Jaylon Tyson,Pascal Siakam,Brandon Ingram,49900,122.14999999999999
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Jay Huff,Nic Claxton,Craig Porter,Gradey Dick,Brandon Ingram,49700,122.14999999999999
Craig Porter,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,TJ McConnell,Pascal Siakam,Jamal Shead,50000,122.14999999999999
Andrew Nembhard,Brandon Ingram,Jarace Walker,Zion Williamson,Ivica Zubac,Coby White,Kevin Huerter,Jamal Shead,50000,122.145
Andrew Nembhard,Brandon Ingram,Gradey Dick,Jay Huff,Ivica Zubac,Tyrese Maxey,Jordan Miller,Jamal Shead,50000,122.14
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Jay Huff,Ivica Zubac,Egor Demin,Noah Clowney,Nic Claxton,49900,122.13499999999999
Andrew Nembhard,Jaylon Tyson,Michael Porter,Jay Huff,Nikola Vucevic,Coby White,Jordan Miller,Jamal Shead,50000,122.125
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Ivica Zubac,Jaylon Tyson,Michael Porter,Lonzo Ball,50000,122.125
TJ McConnell,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Nic Claxton,Coby White,Noah Clowney,Jamal Shead,50000,122.125
Tyrese Maxey,Jaylon Tyson,Johnny Furphy,Jay Huff,Joel Embiid,Jamal Shead,Matas Buzelis,Nic Claxton,50000,122.105
Craig Porter,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jay Huff,Brandon Ingram,Michael Porter,Jamal Shead,50000,122.1
Jamal Shead,Jaylon Tyson,De'Andre Hunter,Jay Huff,Joel Embiid,Brandon Ingram,Matas Buzelis,Ivica Zubac,49900,122.1
Andrew Nembhard,Drake Powell,Aaron Nesmith,Jarace Walker,Joel Embiid,Jamal Shead,Michael Porter,Nic Claxton,50000,122.09
Andrew Nembhard,Coby White,Aaron Nesmith,Jay Huff,Joel Embiid,Craig Porter,Collin Murray-Boyles,Nic Claxton,50000,122.085
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Nic Claxton,Coby White,Michael Porter,Jamal Shead,50000,122.085
Craig Porter,Coby White,Jarace Walker,Jay Huff,Ivica Zubac,Tyrese Maxey,Michael Porter,Jamal Shead,50000,122.08
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Jay Huff,Jamal Shead,Michael Porter,Noah Clowney,50000,122.08
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Jarace Walker,Ivica Zubac,Craig Porter,Collin Murray-Boyles,Nic Claxton,50000,122.075
TJ McConnell,Jaylon Tyson,Aaron Nesmith,Jay Huff,Joel Embiid,Tyrese Maxey,Jarace Walker,Ivica Zubac,50000,122.075
Craig Porter,Jaylon Tyson,Jarace Walker,Derik Queen,Joel Embiid,Jamal Shead,Michael Porter,Nic Claxton,50000,122.07
Craig Porter,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,TJ McConnell,Jaylon Tyson,Brandon Ingram,49800,122.07
Tyrese Maxey,Lonzo Ball,Jarace Walker,Pascal Siakam,Jay Huff,Jamal Shead,Zion Williamson,Nic Claxton,50000,122.07
Andrew Nembhard,Trey Murphy,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,49900,122.065
Jamal Shead,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Ivica Zubac,Coby White,Pascal Siakam,Jordan Miller,50000,122.065
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Jay Huff,Jamal Shead,Jordan Miller,Day'Ron Sharpe,49900,122.065
Andrew Nembhard,Lonzo Ball,Jarace Walker,Jay Huff,Ivica Zubac,Tyrese Maxey,Scottie Barnes,Jamal Shead,50000,122.055
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Derik Queen,Ivica Zubac,Coby White,Scottie Barnes,Jamal Shead,50000,122.05
Andrew Nembhard,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Nic Claxton,Craig Porter,Zion Williamson,Jamal Shead,49900,122.05
Andrew Nembhard,Brandon Ingram,Johnny Furphy,Pascal Siakam,Ivica Zubac,Jamal Shead,Jarace Walker,Paul George,50000,122.045
TJ McConnell,Jaylon Tyson,Michael Porter,Jay Huff,Ivica Zubac,Brandon Ingram,Collin Murray-Boyles,Nic Claxton,49900,122.045
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jarace Walker,Ivica Zubac,Craig Porter,Scottie Barnes,Jamal Shead,50000,122.045
Tre Jones,Jaylon Tyson,Jarace Walker,Pascal Siakam,Jay Huff,Brandon Ingram,Zion Williamson,Nic Claxton,50000,122.03
Craig Porter,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Jay Huff,Lonzo Ball,Zion Williamson,Jamal Shead,50000,122.03
Tyrese Maxey,Brandon Ingram,Jarace Walker,Nae'Qwan Tomlin,Jay Huff,Coby White,Pascal Siakam,Jamal Shead,50000,122.025
Andrew Nembhard,Jaylon Tyson,Gradey Dick,Pascal Siakam,Nic Claxton,Jamal Shead,Zion Williamson,Noah Clowney,49800,122.02
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jay Huff,Nic Claxton,Jamal Shead,Noah Clowney,Nikola Vucevic,49900,122.015
Andrew Nembhard,Coby White,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Matas Buzelis,Nic Claxton,50000,122.01
Jamal Shead,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Jaylon Tyson,Pascal Siakam,Nic Claxton,49900,121.995
Craig Porter,Brandon Ingram,Jarace Walker,Pascal Siakam,Jay Huff,TJ McConnell,Scottie Barnes,Ivica Zubac,50000,121.995
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Noah Clowney,Nic Claxton,Coby White,Scottie Barnes,Jamal Shead,49900,121.995
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Joel Embiid,Craig Porter,Jarace Walker,Noah Clowney,50000,121.99
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Jay Huff,Joel Embiid,Brandon Ingram,Drake Powell,Nic Claxton,50000,121.99
Andrew Nembhard,Coby White,Jarace Walker,Pascal Siakam,Jay Huff,Tyrese Maxey,Drake Powell,Nic Claxton,50000,121.985
Craig Porter,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Jay Huff,TJ McConnell,Matas Buzelis,Nic Claxton,49900,121.985
TJ McConnell,Jaylon Tyson,Jarace Walker,Noah Clowney,Joel Embiid,Brandon Ingram,Michael Porter,Jamal Shead,50000,121.98
Andrew Nembhard,Trey Murphy,Jordan Miller,Pascal Siakam,Jay Huff,Jamal Shead,Noah Clowney,Ivica Zubac,50000,121.97
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jarace Walker,Joel Embiid,Jaylon Tyson,Collin Murray-Boyles,Jamal Shead,49900,121.96
Jamal Shead,Donovan Mitchell,Aaron Nesmith,Jay Huff,Nic Claxton,Jaylon Tyson,De'Andre Hunter,Nikola Vucevic,50000,121.955
Jamal Shead,Jaylon Tyson,Aaron Nesmith,Matas Buzelis,Joel Embiid,Brandon Ingram,Jordan Miller,Nic Claxton,50000,121.95
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Jay Huff,Ivica Zubac,Brandon Ingram,Jordan Miller,Nic Claxton,50000,121.95
Jamal Shead,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Ivica Zubac,Jordan Miller,De'Andre Hunter,Nic Claxton,50000,121.95
Craig Porter,Jaylon Tyson,Isaac Okoro,Pascal Siakam,Nic Claxton,Brandon Ingram,Zion Williamson,Jamal Shead,50000,121.94999999999999
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Jay Huff,Craig Porter,Drake Powell,Coby White,50000,121.945
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Matas Buzelis,Ivica Zubac,49900,121.94
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,De'Andre Hunter,Joel Embiid,Craig Porter,Jarace Walker,Nic Claxton,50000,121.94
Craig Porter,Donovan Mitchell,Jarace Walker,Pascal Siakam,Joel Embiid,Nolan Traore,Jay Huff,Nic Claxton,50000,121.94
