PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Craig Porter,Jaylon Tyson,Johnny Furphy,Zion Williamson,Joel Embiid,Lonzo Ball,Matas Buzelis,Michael Porter,50000,118.375
Jeremiah Fears,Jaylon Tyson,Aaron Nesmith,Paul George,Joel Embiid,Coby White,Jordan Miller,Ivica Zubac,50000,118.375
Craig Porter,Trey Murphy,Jarace Walker,Noah Clowney,Joel Embiid,TJ McConnell,Jordan Miller,Tyrese Maxey,49900,118.375
TJ McConnell,Coby White,Jordan Miller,Jay Huff,Joel Embiid,Tyrese Maxey,Kevin Huerter,Tre Jones,50000,118.375
Jamal Shead,Brandon Ingram,Jarace Walker,Pascal Siakam,John Collins,Drake Powell,Matas Buzelis,Scottie Barnes,50000,118.375
Andrew Nembhard,VJ Edgecombe,Jaylon Tyson,Jay Huff,Jarrett Allen,Coby White,Kevin Huerter,Nikola Vucevic,50000,118.375
Craig Porter,Drake Powell,Aaron Nesmith,Pascal Siakam,Joel Embiid,Kevin Huerter,Jarace Walker,Scottie Barnes,50000,118.375
Andrew Nembhard,Jaylon Tyson,Kelly Oubre,Nae'Qwan Tomlin,Collin Murray-Boyles,Brandon Ingram,Michael Porter,Coby White,50000,118.375
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Scottie Barnes,Nic Claxton,Ayo Dosunmu,Jordan Miller,Kris Dunn,50000,118.375
Craig Porter,VJ Edgecombe,Kevin Huerter,Nae'Qwan Tomlin,Nic Claxton,TJ McConnell,Pascal Siakam,Tyrese Maxey,50000,118.375
TJ McConnell,Trey Murphy,Jaylon Tyson,Collin Murray-Boyles,Ivica Zubac,Brandon Ingram,Jalen Smith,Coby White,50000,118.375
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Jarace Walker,Ivica Zubac,VJ Edgecombe,Jaylon Tyson,Collin Murray-Boyles,49700,118.375
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Scottie Barnes,Day'Ron Sharpe,Jamal Shead,Ayo Dosunmu,Jordan Miller,50000,118.375
TJ McConnell,Donovan Mitchell,Paul George,Nae'Qwan Tomlin,Collin Murray-Boyles,Brandon Ingram,Matas Buzelis,Jamal Shead,49900,118.375
TJ McConnell,Trey Murphy,Aaron Nesmith,Evan Mobley,Nic Claxton,Coby White,Gradey Dick,Jamal Shead,50000,118.375
TJ McConnell,Jaylon Tyson,Jarace Walker,Zion Williamson,Joel Embiid,Tyrese Maxey,Isaac Okoro,Kevin Huerter,50000,118.375
TJ McConnell,Lonzo Ball,De'Andre Hunter,Pascal Siakam,Joel Embiid,Egor Demin,Matas Buzelis,Ivica Zubac,50000,118.37
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Noah Clowney,Sandro Mamukelashvili,Craig Porter,Gradey Dick,Brandon Ingram,50000,118.37
Andrew Nembhard,VJ Edgecombe,Jarace Walker,Zion Williamson,Evan Mobley,Craig Porter,Noah Clowney,Jamal Shead,50000,118.37
Andrew Nembhard,Coby White,De'Andre Hunter,Zion Williamson,Jay Huff,Jordan Miller,Matas Buzelis,Nikola Vucevic,49800,118.37
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Tre Jones,Noah Clowney,Collin Murray-Boyles,50000,118.37
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Derik Queen,Nic Claxton,Tyrese Maxey,Kevin Huerter,Egor Demin,49900,118.37
Craig Porter,Jaylon Tyson,Jordan Miller,Pascal Siakam,Derik Queen,Coby White,Zion Williamson,Tre Jones,50000,118.37
Andrew Nembhard,VJ Edgecombe,Jaylon Tyson,Derik Queen,Collin Murray-Boyles,Lonzo Ball,Michael Porter,Jamal Shead,50000,118.37
Jeremiah Fears,Brandon Ingram,Drake Powell,Nae'Qwan Tomlin,Joel Embiid,Tyrese Maxey,Noah Clowney,Jamal Shead,50000,118.37
Andrew Nembhard,Jaylon Tyson,Isaac Okoro,Pascal Siakam,Collin Murray-Boyles,Tyrese Maxey,Noah Clowney,Lonzo Ball,50000,118.37
Craig Porter,Jaylon Tyson,Michael Porter,Matas Buzelis,Jarrett Allen,TJ McConnell,Jordan Miller,Joel Embiid,49900,118.37
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Derik Queen,Nic Claxton,Lonzo Ball,Jarace Walker,Scottie Barnes,49900,118.37
Craig Porter,VJ Edgecombe,Jaylon Tyson,Paul George,Joel Embiid,Jamal Shead,Saddiq Bey,Nic Claxton,49800,118.37
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Jay Huff,Day'Ron Sharpe,Craig Porter,Paul George,Scottie Barnes,50000,118.37
Andrew Nembhard,Jordan Miller,Saddiq Bey,Derik Queen,Joel Embiid,Egor Demin,Jay Huff,Ivica Zubac,50000,118.37
TJ McConnell,Gradey Dick,Jarace Walker,Jay Huff,Joel Embiid,Tre Jones,Michael Porter,Nikola Vucevic,49800,118.36500000000001
TJ McConnell,Jordan Miller,Aaron Nesmith,Noah Clowney,Joel Embiid,Egor Demin,Michael Porter,Nic Claxton,49900,118.36500000000001
Egor Demin,Brandon Ingram,Jarace Walker,Jay Huff,Joel Embiid,Kevin Huerter,Michael Porter,Noah Clowney,49900,118.36500000000001
Andrew Nembhard,Jordan Miller,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Tyrese Maxey,Jarace Walker,Paul George,50000,118.36500000000001
Andrew Nembhard,Jordan Miller,Michael Porter,John Collins,Jarrett Allen,Jamal Shead,Kevin Huerter,Ivica Zubac,50000,118.36500000000001
TJ McConnell,VJ Edgecombe,Jarace Walker,Collin Murray-Boyles,Joel Embiid,Jordan Miller,Michael Porter,Nic Claxton,49900,118.36500000000001
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Zion Williamson,Karlo Matkovic,Craig Porter,Noah Clowney,Nikola Vucevic,50000,118.365
Andrew Nembhard,VJ Edgecombe,Aaron Nesmith,Zion Williamson,Jay Huff,Jordan Miller,Matas Buzelis,Ivica Zubac,49800,118.365
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Dominick Barlow,Ivica Zubac,Coby White,Kevin Huerter,Tre Jones,49900,118.365
Andrew Nembhard,Ayo Dosunmu,Jarace Walker,Zion Williamson,Jay Huff,Tyrese Maxey,Matas Buzelis,Noah Clowney,50000,118.365
Jamal Shead,Kevin Huerter,Aaron Nesmith,Pascal Siakam,Jarrett Allen,Tre Jones,Zion Williamson,Jay Huff,49900,118.365
Jamal Shead,Coby White,Jarace Walker,Jay Huff,Ivica Zubac,James Harden,Kevin Huerter,Nikola Vucevic,49700,118.365
Andrew Nembhard,Jaylon Tyson,Saddiq Bey,Evan Mobley,Jarrett Allen,Coby White,Jay Huff,Jamal Shead,49800,118.365
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Zion Williamson,Nikola Vucevic,Lonzo Ball,Noah Clowney,Jamal Shead,49900,118.365
Craig Porter,Coby White,Aaron Nesmith,Scottie Barnes,Joel Embiid,Jamal Shead,Drake Powell,Tre Jones,49800,118.365
Jamal Shead,Ayo Dosunmu,Paul George,Pascal Siakam,Jay Huff,Drake Powell,Scottie Barnes,Ivica Zubac,49900,118.365
TJ McConnell,Lonzo Ball,Aaron Nesmith,Jay Huff,Ivica Zubac,Tyrese Maxey,Scottie Barnes,Egor Demin,50000,118.365
Jeremiah Fears,Jaylon Tyson,Jarace Walker,Pascal Siakam,Evan Mobley,TJ McConnell,Jay Huff,Nikola Vucevic,49900,118.365
TJ McConnell,Coby White,Michael Porter,Nae'Qwan Tomlin,Karlo Matkovic,Jamal Shead,Pascal Siakam,Scottie Barnes,50000,118.365
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Dominick Barlow,Ivica Zubac,Coby White,Isaac Okoro,Nikola Vucevic,50000,118.365
Craig Porter,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Brandon Ingram,Kelly Oubre,Nikola Vucevic,50000,118.365
Craig Porter,Donovan Mitchell,Jarace Walker,Matas Buzelis,Jarrett Allen,Jaylon Tyson,Michael Porter,Noah Clowney,50000,118.365
TJ McConnell,Brandon Ingram,Michael Porter,Pascal Siakam,Day'Ron Sharpe,Jamal Shead,Kevin Huerter,Kris Dunn,50000,118.365
Craig Porter,Coby White,Jarace Walker,Pascal Siakam,Evan Mobley,Jamal Shead,Scottie Barnes,Nolan Traore,49900,118.365
Tre Jones,Donovan Mitchell,Jarace Walker,Noah Clowney,Ivica Zubac,Coby White,Gradey Dick,Nikola Vucevic,50000,118.365
Egor Demin,Brandon Ingram,Paul George,Nae'Qwan Tomlin,Jay Huff,Coby White,Pascal Siakam,Nic Claxton,49500,118.365
Andrew Nembhard,VJ Edgecombe,Johnny Furphy,Pascal Siakam,Joel Embiid,Jordan Miller,Jay Huff,Sandro Mamukelashvili,50000,118.365
Andrew Nembhard,Ben Sheppard,Jordan Miller,Noah Clowney,Joel Embiid,Donovan Mitchell,Collin Murray-Boyles,Jamal Shead,49700,118.365
Andrew Nembhard,Coby White,Paul George,Pascal Siakam,Nic Claxton,Egor Demin,Jordan Miller,Kevin Huerter,49900,118.365
Jamal Shead,VJ Edgecombe,Aaron Nesmith,Matas Buzelis,Nic Claxton,Coby White,Noah Clowney,Nikola Vucevic,49900,118.365
Andrew Nembhard,Gradey Dick,Johnny Furphy,Nae'Qwan Tomlin,Nic Claxton,Tyrese Maxey,Michael Porter,Collin Murray-Boyles,49900,118.36
Craig Porter,Brandon Ingram,Michael Porter,Noah Clowney,Nic Claxton,Tyrese Maxey,Gradey Dick,Nolan Traore,50000,118.36
Andrew Nembhard,Drake Powell,Johnny Furphy,Evan Mobley,Nic Claxton,Tyrese Maxey,De'Andre Hunter,Jamal Shead,49900,118.36
TJ McConnell,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Nic Claxton,VJ Edgecombe,Michael Porter,Jamal Shead,49900,118.36
TJ McConnell,Donovan Mitchell,Jarace Walker,Derik Queen,Joel Embiid,Tre Jones,Drake Powell,Nic Claxton,49800,118.36
Lonzo Ball,Brandon Ingram,Johnny Furphy,Pascal Siakam,Derik Queen,Coby White,Collin Murray-Boyles,Ivica Zubac,50000,118.36
Jamal Shead,Jaylon Tyson,Aaron Nesmith,Evan Mobley,Ivica Zubac,Gradey Dick,Michael Porter,Jordan Miller,49900,118.36
Craig Porter,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Joel Embiid,Tre Jones,Dominick Barlow,Jay Huff,50000,118.36
Jamal Shead,Ben Sheppard,Michael Porter,Pascal Siakam,Jarrett Allen,Coby White,Kevin Huerter,Nic Claxton,50000,118.36
Andrew Nembhard,Jaylon Tyson,Paul George,Collin Murray-Boyles,Jarrett Allen,Drake Powell,Michael Porter,Nic Claxton,50000,118.36
Lonzo Ball,Donovan Mitchell,Gradey Dick,Derik Queen,Jay Huff,Brandon Ingram,Matas Buzelis,Ivica Zubac,50000,118.36
Tyrese Maxey,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Jay Huff,Brandon Ingram,Matas Buzelis,Jordan Miller,50000,118.36
Tre Jones,Donovan Mitchell,De'Andre Hunter,Matas Buzelis,Ivica Zubac,Jaylon Tyson,Drake Powell,Brandon Ingram,50000,118.36
Craig Porter,VJ Edgecombe,Jarace Walker,Pascal Siakam,Derik Queen,TJ McConnell,Scottie Barnes,Jamal Shead,49800,118.36
TJ McConnell,Trey Murphy,Jarace Walker,Pascal Siakam,Jalen Smith,Tyrese Maxey,Jordan Miller,Jamal Shead,50000,118.36
Jamal Shead,Donovan Mitchell,Johnny Furphy,Saddiq Bey,Nic Claxton,Trey Murphy,Drake Powell,Brandon Ingram,50000,118.36
Craig Porter,Jaylon Tyson,Paul George,Zion Williamson,Nikola Vucevic,TJ McConnell,Jordan Miller,Brandon Ingram,49800,118.36
Craig Porter,Donovan Mitchell,Jordan Miller,Pascal Siakam,Jarrett Allen,Coby White,Jay Huff,Day'Ron Sharpe,49900,118.36
TJ McConnell,Donovan Mitchell,Johnny Furphy,Collin Murray-Boyles,Nic Claxton,Coby White,Michael Porter,Jordan Miller,49800,118.36
Jeremiah Fears,Jaylon Tyson,Johnny Furphy,Nae'Qwan Tomlin,Ivica Zubac,Brandon Ingram,Scottie Barnes,Nikola Vucevic,50000,118.36
Tyrese Maxey,Lonzo Ball,Aaron Nesmith,Zion Williamson,Dominick Barlow,Brandon Ingram,Jay Huff,Nic Claxton,50000,118.36
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Pascal Siakam,Dominick Barlow,Coby White,Jalen Smith,Jamal Shead,49900,118.36
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jay Huff,Sandro Mamukelashvili,Craig Porter,Michael Porter,Tre Jones,50000,118.36
TJ McConnell,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Day'Ron Sharpe,Tyrese Maxey,Zion Williamson,Jamal Shead,49800,118.36
Kris Dunn,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Nic Claxton,Coby White,Michael Porter,Kevin Huerter,49900,118.36
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Zion Williamson,John Collins,Jamal Shead,De'Andre Hunter,Noah Clowney,50000,118.36
Andrew Nembhard,Brandon Ingram,Jordan Miller,Collin Murray-Boyles,Nikola Vucevic,Egor Demin,John Collins,Jamal Shead,50000,118.36
Jeremiah Fears,Coby White,Aaron Nesmith,Pascal Siakam,Nic Claxton,Jordan Miller,Zion Williamson,Noah Clowney,50000,118.36
Tre Jones,Trey Murphy,Aaron Nesmith,Jay Huff,Joel Embiid,Coby White,Jarace Walker,Matas Buzelis,50000,118.36
Craig Porter,Donovan Mitchell,Kevin Huerter,Nae'Qwan Tomlin,Jarrett Allen,Jamal Shead,Pascal Siakam,Matas Buzelis,49900,118.36
Tre Jones,Brandon Ingram,Drake Powell,Jay Huff,Ivica Zubac,Jordan Miller,Scottie Barnes,Nikola Vucevic,50000,118.355
TJ McConnell,Jaylon Tyson,Johnny Furphy,Evan Mobley,Ivica Zubac,Egor Demin,Scottie Barnes,Nic Claxton,50000,118.355
TJ McConnell,Ayo Dosunmu,Jarace Walker,Nae'Qwan Tomlin,Nic Claxton,Tyrese Maxey,Zion Williamson,Nikola Vucevic,50000,118.355
Lonzo Ball,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Evan Mobley,Brandon Ingram,Jarace Walker,Coby White,50000,118.355
Jamal Shead,Jordan Miller,De'Andre Hunter,Pascal Siakam,Derik Queen,Kevin Huerter,Zion Williamson,Ivica Zubac,49900,118.355
Jamal Shead,VJ Edgecombe,Jarace Walker,Zion Williamson,Ivica Zubac,Jordan Miller,Matas Buzelis,Michael Porter,49900,118.355
Jeremiah Fears,Kevin Huerter,Aaron Nesmith,Evan Mobley,Joel Embiid,Jamal Shead,Jarace Walker,Nic Claxton,50000,118.355
Andrew Nembhard,Jaylon Tyson,Kelly Oubre,Evan Mobley,Nic Claxton,Coby White,John Collins,Jamal Shead,50000,118.355
Jeremiah Fears,Lonzo Ball,De'Andre Hunter,Matas Buzelis,Joel Embiid,Jamal Shead,Scottie Barnes,Nic Claxton,50000,118.355
Lonzo Ball,Brandon Ingram,Jarace Walker,Matas Buzelis,Nic Claxton,Kevin Huerter,Michael Porter,Nikola Vucevic,50000,118.355
Andrew Nembhard,Gradey Dick,Jarace Walker,Collin Murray-Boyles,Nic Claxton,Jeremiah Fears,Michael Porter,Nikola Vucevic,49900,118.355
Craig Porter,Donovan Mitchell,De'Andre Hunter,Noah Clowney,Ivica Zubac,Jaylon Tyson,Kevin Huerter,Nikola Vucevic,49800,118.355
Andrew Nembhard,Jordan Miller,De'Andre Hunter,Pascal Siakam,Sandro Mamukelashvili,Egor Demin,Michael Porter,Jamal Shead,50000,118.355
Kris Dunn,Donovan Mitchell,Jaylon Tyson,Scottie Barnes,Nic Claxton,Coby White,Jordan Miller,Kevin Huerter,50000,118.355
TJ McConnell,Trey Murphy,Drake Powell,Pascal Siakam,Ivica Zubac,VJ Edgecombe,Noah Clowney,Nic Claxton,50000,118.355
TJ McConnell,Gradey Dick,Jarace Walker,Pascal Siakam,Joel Embiid,Jordan Miller,Scottie Barnes,Collin Murray-Boyles,49900,118.355
TJ McConnell,Brandon Ingram,Saddiq Bey,Pascal Siakam,Nic Claxton,Drake Powell,Noah Clowney,Nikola Vucevic,50000,118.355
Tyrese Maxey,Jaylon Tyson,De'Andre Hunter,Noah Clowney,Nic Claxton,Brandon Ingram,Collin Murray-Boyles,Kevin Huerter,49900,118.355
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Jarrett Allen,Coby White,Derik Queen,Jamal Shead,50000,118.355
Craig Porter,Trey Murphy,Jarace Walker,Pascal Siakam,Nic Claxton,Coby White,Paul George,Egor Demin,49900,118.355
Jamal Shead,Jaylon Tyson,Jarace Walker,Evan Mobley,Joel Embiid,Tre Jones,Jalen Smith,Nic Claxton,49800,118.355
Tyrese Maxey,Jaylon Tyson,Aaron Nesmith,Jay Huff,Collin Murray-Boyles,Coby White,Scottie Barnes,Drake Powell,50000,118.355
Craig Porter,Trey Murphy,Drake Powell,Zion Williamson,Ivica Zubac,Lonzo Ball,Scottie Barnes,Nic Claxton,50000,118.35499999999999
TJ McConnell,Donovan Mitchell,Aaron Nesmith,Zion Williamson,Nic Claxton,Jamal Shead,Jalen Smith,Sandro Mamukelashvili,50000,118.35499999999999
Andrew Nembhard,Coby White,Aaron Nesmith,Zion Williamson,Nikola Vucevic,Craig Porter,Jordan Miller,Kevin Huerter,49900,118.35
Craig Porter,Trey Murphy,Kelly Oubre,Pascal Siakam,Ivica Zubac,TJ McConnell,Jarace Walker,Nikola Vucevic,50000,118.35
Andrew Nembhard,Trey Murphy,Jarace Walker,Scottie Barnes,Collin Murray-Boyles,Craig Porter,Drake Powell,Brandon Ingram,49900,118.35
Andrew Nembhard,Lonzo Ball,Jarace Walker,Pascal Siakam,Sandro Mamukelashvili,Tyrese Maxey,Drake Powell,Brandon Ingram,49900,118.35
Lonzo Ball,Donovan Mitchell,Michael Porter,Jay Huff,Nic Claxton,Tre Jones,Noah Clowney,Collin Murray-Boyles,50000,118.35
TJ McConnell,Brandon Ingram,Aaron Nesmith,Jarace Walker,Nic Claxton,Tyrese Maxey,Paul George,Sandro Mamukelashvili,50000,118.35
TJ McConnell,Ayo Dosunmu,Michael Porter,Jay Huff,Joel Embiid,Kevin Huerter,Noah Clowney,Ivica Zubac,50000,118.35
Andrew Nembhard,Trey Murphy,Johnny Furphy,Pascal Siakam,Derik Queen,Jamal Shead,Noah Clowney,Day'Ron Sharpe,50000,118.35
Craig Porter,Coby White,Kevin Huerter,Pascal Siakam,Derik Queen,TJ McConnell,Jay Huff,Scottie Barnes,49900,118.35
Andrew Nembhard,VJ Edgecombe,Johnny Furphy,Paul George,Ivica Zubac,Jamal Shead,Noah Clowney,Nikola Vucevic,49900,118.35
Jamal Shead,Trey Murphy,Isaac Okoro,Pascal Siakam,Ivica Zubac,Gradey Dick,Matas Buzelis,Nic Claxton,49600,118.35
Andrew Nembhard,VJ Edgecombe,Saddiq Bey,Jay Huff,Ivica Zubac,Craig Porter,Jordan Miller,Tyrese Maxey,50000,118.35
Lonzo Ball,Trey Murphy,Jaylon Tyson,Pascal Siakam,Day'Ron Sharpe,Brandon Ingram,John Collins,Jamal Shead,50000,118.35
Tre Jones,Jordan Miller,Michael Porter,Jay Huff,Ivica Zubac,Kris Dunn,Scottie Barnes,Nic Claxton,49900,118.35
Craig Porter,Brandon Ingram,Jarace Walker,Pascal Siakam,Jalen Smith,Coby White,Michael Porter,Jordan Miller,50000,118.345
Andrew Nembhard,Ben Sheppard,Michael Porter,Jay Huff,Joel Embiid,Kris Dunn,Matas Buzelis,Nic Claxton,49800,118.345
Jamal Shead,Brandon Ingram,Aaron Nesmith,Derik Queen,Day'Ron Sharpe,Drake Powell,Michael Porter,Ivica Zubac,50000,118.345
Andrew Nembhard,Trey Murphy,Jarace Walker,Nae'Qwan Tomlin,Nic Claxton,Tre Jones,Matas Buzelis,Scottie Barnes,49900,118.345
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Derik Queen,Collin Murray-Boyles,Tyrese Maxey,Noah Clowney,Coby White,50000,118.345
Kris Dunn,Donovan Mitchell,Jarace Walker,Matas Buzelis,Joel Embiid,Jaylon Tyson,Drake Powell,Brandon Ingram,49800,118.345
Jeremiah Fears,Trey Murphy,Johnny Furphy,Pascal Siakam,Jay Huff,Jamal Shead,Collin Murray-Boyles,Nikola Vucevic,50000,118.345
Tyrese Maxey,Donovan Mitchell,De'Andre Hunter,Nae'Qwan Tomlin,Nikola Vucevic,Jamal Shead,Jarace Walker,Kris Dunn,50000,118.345
Andrew Nembhard,Trey Murphy,Johnny Furphy,Pascal Siakam,Jay Huff,Craig Porter,Isaac Okoro,Nikola Vucevic,49800,118.345
Craig Porter,Donovan Mitchell,Johnny Furphy,Karlo Matkovic,Nic Claxton,Jaylon Tyson,Scottie Barnes,Nikola Vucevic,50000,118.345
Tre Jones,Donovan Mitchell,Jaylon Tyson,Jay Huff,Collin Murray-Boyles,Brandon Ingram,Paul George,Jordan Miller,50000,118.345
Craig Porter,Coby White,Johnny Furphy,Paul George,Joel Embiid,Jamal Shead,Michael Porter,Day'Ron Sharpe,50000,118.345
Craig Porter,Brandon Ingram,Drake Powell,Pascal Siakam,Ivica Zubac,Kris Dunn,Noah Clowney,Scottie Barnes,50000,118.345
Andrew Nembhard,Ben Sheppard,Aaron Nesmith,Nae'Qwan Tomlin,Joel Embiid,Donovan Mitchell,Jordan Miller,Nic Claxton,49600,118.345
Tyrese Maxey,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Karlo Matkovic,Coby White,Collin Murray-Boyles,Nic Claxton,50000,118.345
Jamal Shead,Ben Sheppard,Aaron Nesmith,Pascal Siakam,Nic Claxton,Donovan Mitchell,Matas Buzelis,Sandro Mamukelashvili,50000,118.345
Andrew Nembhard,Coby White,Paul George,Nae'Qwan Tomlin,Jay Huff,Drake Powell,Pascal Siakam,Scottie Barnes,49800,118.345
TJ McConnell,Lonzo Ball,Isaac Okoro,Pascal Siakam,Nikola Vucevic,Tyrese Maxey,Noah Clowney,Jamal Shead,50000,118.345
Andrew Nembhard,Coby White,Johnny Furphy,Matas Buzelis,Day'Ron Sharpe,Tyrese Maxey,Noah Clowney,Ivica Zubac,50000,118.345
Andrew Nembhard,Coby White,Aaron Nesmith,Pascal Siakam,Day'Ron Sharpe,Jordan Miller,Jarace Walker,Nikola Vucevic,49600,118.345
Craig Porter,Donovan Mitchell,Jaylon Tyson,Derik Queen,Jay Huff,Tyrese Maxey,Matas Buzelis,Nolan Traore,50000,118.345
Andrew Nembhard,Lonzo Ball,Aaron Nesmith,Matas Buzelis,Nikola Vucevic,Brandon Ingram,Gradey Dick,Coby White,50000,118.345
Andrew Nembhard,Lonzo Ball,Saddiq Bey,Noah Clowney,Nic Claxton,Craig Porter,Michael Porter,Nikola Vucevic,50000,118.345
Craig Porter,Drake Powell,Jarace Walker,Pascal Siakam,Joel Embiid,Tre Jones,Zion Williamson,Matas Buzelis,50000,118.345
Egor Demin,Donovan Mitchell,Aaron Nesmith,Karlo Matkovic,Joel Embiid,Jamal Shead,Kevin Huerter,Nic Claxton,50000,118.345
TJ McConnell,Donovan Mitchell,Johnny Furphy,Zion Williamson,Jarrett Allen,Tre Jones,Jay Huff,Ivica Zubac,49900,118.345
Craig Porter,Donovan Mitchell,Drake Powell,Zion Williamson,Derik Queen,Coby White,Collin Murray-Boyles,Jamal Shead,50000,118.345
Tyrese Maxey,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Nic Claxton,Brandon Ingram,Collin Murray-Boyles,Nolan Traore,50000,118.34
Andrew Nembhard,Cam Thomas,Aaron Nesmith,Zion Williamson,Joel Embiid,Egor Demin,Jay Huff,Jarace Walker,49900,118.34
Craig Porter,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Derik Queen,TJ McConnell,Zion Williamson,Nolan Traore,50000,118.34
TJ McConnell,Brandon Ingram,Isaac Okoro,Pascal Siakam,Ivica Zubac,Jordan Miller,Kevin Huerter,Nikola Vucevic,50000,118.34
Craig Porter,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,TJ McConnell,John Collins,Nikola Vucevic,50000,118.34
Craig Porter,Kris Dunn,Michael Porter,Nae'Qwan Tomlin,Ivica Zubac,Tyrese Maxey,Matas Buzelis,Jamal Shead,49800,118.34
Egor Demin,Donovan Mitchell,Jaylon Tyson,Scottie Barnes,Day'Ron Sharpe,Coby White,Jordan Miller,Jamal Shead,49900,118.34
Andrew Nembhard,Ayo Dosunmu,De'Andre Hunter,Jarace Walker,Joel Embiid,Craig Porter,Matas Buzelis,Nikola Vucevic,50000,118.34
Egor Demin,Coby White,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Tre Jones,Scottie Barnes,Ivica Zubac,50000,118.34
Craig Porter,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Sandro Mamukelashvili,Tyrese Maxey,Jaylon Tyson,Brandon Ingram,50000,118.34
Egor Demin,Coby White,Aaron Nesmith,Pascal Siakam,Nikola Vucevic,Jamal Shead,Collin Murray-Boyles,Gradey Dick,50000,118.34
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Derik Queen,Tyrese Maxey,Jarace Walker,Nolan Traore,49800,118.34
Egor Demin,Trey Murphy,Jaylon Tyson,Zion Williamson,Nic Claxton,Brandon Ingram,Noah Clowney,Gradey Dick,50000,118.34
Jamal Shead,Trey Murphy,Saddiq Bey,Jay Huff,Joel Embiid,Brandon Ingram,Collin Murray-Boyles,Drake Powell,50000,118.34
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Paul George,Day'Ron Sharpe,Jamal Shead,Kevin Huerter,Ivica Zubac,50000,118.34
Andrew Nembhard,Trey Murphy,Gradey Dick,Pascal Siakam,Collin Murray-Boyles,Egor Demin,Noah Clowney,Jamal Shead,49900,118.34
Lonzo Ball,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,Brandon Ingram,John Collins,Day'Ron Sharpe,50000,118.34
Jamal Shead,Brandon Ingram,Paul George,Derik Queen,Ivica Zubac,Ayo Dosunmu,Kevin Huerter,Nic Claxton,50000,118.34
Tre Jones,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Derik Queen,Jaylon Tyson,Pascal Siakam,Jarace Walker,49900,118.34
Egor Demin,Jordan Miller,Aaron Nesmith,Derik Queen,Joel Embiid,Jamal Shead,Jay Huff,Nikola Vucevic,49800,118.34
TJ McConnell,Trey Murphy,Aaron Nesmith,Nae'Qwan Tomlin,Nic Claxton,Kris Dunn,Pascal Siakam,Zion Williamson,50000,118.34
TJ McConnell,Jordan Miller,Aaron Nesmith,Zion Williamson,Joel Embiid,Tre Jones,De'Andre Hunter,Ivica Zubac,50000,118.34
Andrew Nembhard,Coby White,Aaron Nesmith,Noah Clowney,Jarrett Allen,Craig Porter,Jordan Miller,Tyrese Maxey,50000,118.34
Jamal Shead,Jaylon Tyson,Gradey Dick,Matas Buzelis,Joel Embiid,Tre Jones,Noah Clowney,Scottie Barnes,49900,118.33500000000001
TJ McConnell,Ayo Dosunmu,Jarace Walker,Pascal Siakam,Nic Claxton,Tyrese Maxey,Matas Buzelis,Noah Clowney,49900,118.33500000000001
Andrew Nembhard,VJ Edgecombe,Johnny Furphy,Jay Huff,Ivica Zubac,Tyrese Maxey,Noah Clowney,Collin Murray-Boyles,49900,118.33500000000001
